City,Start Date,End Date,NDVI
"New York City, NY",2018-01-01,2018-01-15,0.9833389898994938
"Phoenix, AZ",2018-01-15,2018-01-15,0.9872361912857741
"Dallas, TX",2018-01-15,2018-01-15,0.9844280063152837
"Fort Worth, TX",2018-01-15,2018-01-15,0.9867576626129448
"Tucson, AZ",2018-01-15,2018-01-15,0.9873870613519102
"Arlington, TX",2018-01-15,2018-01-15,0.9872007940430194
"New York City, NY",2018-01-15,2018-01-29,0.9834860863629729
"El Paso, TX",2018-01-29,2018-01-29,0.9858956239186227
"Denver, CO",2018-01-29,2018-01-29,0.987415881594643
"San Diego, CA",2018-01-29,2018-01-29,0.9884374886751175
"Houston, TX",2018-01-29,2018-01-29,0.9875113535672426
"Indianapolis, IN",2018-02-12,2018-02-12,0.988109793048352
"Seattle, WA",2018-02-12,2018-02-12,0.9890841692686081
"Denver, CO",2018-02-26,2018-02-26,0.9864102753344923
"Kansas City, MO",2018-02-26,2018-02-26,0.9870220755692571
"New York City, NY",2018-02-26,2018-03-12,0.9834022493450902
"Milwaukee, WI",2018-03-12,2018-03-12,0.9844266435466125
"New York City, NY",2018-03-12,2018-03-26,0.9832613201579079
"Memphis, TN",2018-03-12,2018-03-12,0.9880689715500921
"Austin, TX",2018-03-26,2018-03-26,0.9884274224750698
"Columbus, OH",2018-03-26,2018-03-26,0.9886268735863268
"San Francisco, CA",2018-03-26,2018-03-26,0.9849604113842361
"Boston, MA",2018-03-26,2018-03-26,0.9862935030832887
"Detroit, MI",2018-03-26,2018-03-26,0.9872102949302644
"Tucson, AZ",2018-03-26,2018-03-26,0.9867845019325614
"Sacramento, CA",2018-03-26,2018-03-26,0.9891948536969721
"Phoenix, AZ",2018-03-26,2018-03-26,0.9867552416399121
"San Jose, CA",2018-03-26,2018-03-26,0.9886817783117294
"Mesa, AZ",2018-03-26,2018-03-26,0.9874228478875011
"Oakland, CA",2018-03-26,2018-03-26,0.9884227495640516
"Tempe, AZ",2018-03-26,2018-03-26,0.9873385336250067
"Colorado Springs, CO",2018-04-09,2018-04-09,0.9862051501404494
"Tampa, FL",2018-04-09,2018-04-09,0.9868757610674948
"New York City, NY",2018-04-09,2018-04-23,0.9841761219577165
"Tempe, AZ",2018-04-23,2018-04-23,0.9873065673746169
"Boston, MA",2018-04-23,2018-04-23,0.9860999493394047
"Mesa, AZ",2018-04-23,2018-04-23,0.9873456978239119
"Seattle, WA",2018-04-23,2018-04-23,0.9897178807295859
"New York City, NY",2018-04-23,2018-05-07,0.9849855421925895
"Phoenix, AZ",2018-04-23,2018-04-23,0.9869078891351819
"Portland, OR",2018-04-23,2018-04-23,0.9900897108018398
"Austin, TX",2018-05-07,2018-05-07,0.989877144806087
"Fresno, CA",2018-05-07,2018-05-07,0.9883025507442653
"Kansas City, MO",2018-05-07,2018-05-07,0.989806548692286
"Minneapolis, MN",2018-05-07,2018-05-07,0.987568783108145
"Bakersfield, CA",2018-05-07,2018-05-07,0.9876556906383485
"Arlington, TX",2018-05-07,2018-05-07,0.9908999688923359
"New York City, NY",2018-05-07,2018-05-21,0.9852407151483931
"Houston, TX",2018-05-07,2018-05-07,0.9894347889348865
"Philadelphia, PA",2018-05-21,2018-05-21,0.9866408712696284
"Washington, DC",2018-05-21,2018-05-21,0.9862582561327145
"Baltimore, MD",2018-05-21,2018-05-21,0.9885159586556256
"Tempe, AZ",2018-06-04,2018-06-04,0.9872704667504877
"Columbus, OH",2018-06-04,2018-06-04,0.9918798534199595
"Wichita, KS",2018-06-04,2018-06-04,0.9907925957813859
"Atlanta, GA",2018-06-04,2018-06-04,0.9910466778092086
